东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,金鱼池西区,天坛,2室1厅 ,61.85, 南 北 , 精装 ,5, 2002年 , 板楼,56, 3个月以前发布,6050000.0,"97,818元/平",近地铁 VR房源 房本满五年 随时看房 
城市亮点，满五唯一商品房，双朝南两居室,城市亮点,永定门,2室1厅 ,84.57, 南 , 简装 ,12, 2003年 , 板塔结合,58, 4个月以前发布,7600000.0,"89,867元/平",近地铁 VR看装修 房本满五年 随时看房 
禾风相府 花园式小区 人车分流,禾风相府,金宝街,2室1厅 ,96.26, 东 , 精装 ,14, 2004年 , 板楼,20, 4个月以前发布,12000000.0,"124,663元/平",VR房源 房本满五年 随时看房 
灯市口  临近地铁  楼下公园  视野开阔   配套齐全,东皇城根南街,灯市口,1室1厅 ,41.3, 东 , 精装 ,6, 1987年 , 板楼,18, 3个月以前发布,4100000.0,"99,274元/平",近地铁 VR房源 房本满两年 随时看房 
交道口北二条35号院中层精装三居,交道口北二条35号院,交道口,3室1厅 ,70.12, 南 北 , 精装 ,6, 1988年 , 板楼,35, 3个月以前发布,9450000.0,"134,769元/平",近地铁 VR看装修 房本满五年 
精装修拎包入住三居室只有契税可多贷款,恒基中心,建国门内,3室2厅 ,168.41, 西北 , 精装 ,23, 1997年 , 板塔结合,44, 4个月以前发布,11200000.0,"66,505元/平",近地铁 VR房源 房本满两年 
禾风相府封闭式商品房小区，高层带电梯的，视野开阔，,禾风相府,金宝街,3室2厅 ,163.81, 南 北 , 精装 ,14, 2004年 , 板塔结合,47, 5个月以前发布,24600000.0,"150,174元/平",近地铁 VR看装修 房本满五年 随时看房 
广渠门板楼社区，客厅带独立窗户，南北通透带西窗两居,光明楼,广渠门,2室1厅 ,59.43, 南 北 西 , 简装 ,6, 1991年 , 板楼,14, 4个月以前发布,5700000.0,"95,912元/平",VR房源 房本满两年 
忠实里西区 金世纪嘉园 精装修两居室,金世纪嘉园,广渠门,2室1厅 ,75.74, 东南 , 精装 ,21, 2005年 , 塔楼,30, 5个月以前发布,6900000.0,"91,102元/平",近地铁 VR看装修 房本满五年 
长青园小区 楼层好 一室一厅 看房方便,长青园,左安门,1室1厅 ,50.84, 东 , 简装 ,6, 1990年 , 板楼,61, 5个月以前发布,3660000.0,"71,991元/平",近地铁 VR房源 房本满两年 
李村南里 2室1厅 南 北,李村南里,永定门,2室1厅 ,57.13, 南 北 , 简装 ,6, 1980年 , 板楼,22, 5个月以前发布,4620000.0,"80,869元/平",近地铁 VR看装修 房本满五年 
