麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
怡秀园小区 高层观景 采光好 视野棒,怡秀园小区,万柳,2室2厅 ,68.0, 东南 , 精装 ,18, 1998年 , 塔楼,60, 3个月以前发布,7980000.0,"117,353元/平",近地铁 VR房源 随时看房 
安宁里南区，新上大两居，南北通透，看房方便,安宁里南区,安宁庄,2室1厅 ,73.16, 南 北 , 精装 ,7, 2002年 , 板楼,41, 5个月以前发布,4800000.0,"65,610元/平",VR看装修 房本满五年 
永定路57号院二街坊满五唯一精装修,永定路57号院,五棵松,3室1厅 ,63.1, 东 南 北 , 精装 ,6, 1989年 , 板楼,32, 9个月以前发布,5030000.0,"79,715元/平",VR看装修 房本满两年 随时看房 
麓景嘉园北里 2室1厅 南 北,麓景嘉园北里,海淀其它,2室1厅 ,88.76, 南 北 , 精装 ,6, 2015年 , 板楼,42, 10个月以前发布,3350000.0,"37,743元/平",VR看装修 房本满五年 随时看房 
公司大区总监推荐电梯房，全明格局精装修，首付压力小,北京机械学院家属楼,清河,2室1厅 ,74.5, 东 , 精装 ,9, 1999年 , 板塔结合,45, 11个月以前发布,4750000.0,"63,759元/平",近地铁 VR房源 房本满两年 
马连洼菊园 满五唯一成本价 中间楼层 户型方正,菊园,马连洼,2室1厅 ,63.29, 南 北 , 简装 ,6, 1995年 , 板楼,117, 9个月以前发布,4800000.0,"75,842元/平",VR房源 房本满五年 随时看房 
马连洼菊园南北通透两居室，户型好费用少,菊园,马连洼,2室1厅 ,63.55, 南 北 , 简装 ,6, 1995年 , 板楼,39, 5个月以前发布,4900000.0,"77,105元/平",VR看装修 房本满五年 随时看房 
同泽园西里   满二商品房  可贷款  看房方便,同泽园西里,海淀其它,2室1厅 ,68.85, 南 北 , 简装 ,6, 2012年 , 板楼,9, 6个月以前发布,2700000.0,"39,216元/平",VR看装修 房本满两年 随时看房 
保利西山林语 三居室 精装修 诚意出售 看房方便,保利西山林语,海淀北部新区,3室1厅 ,93.38, 南 北 , 精装 ,8, 2009年 , 板楼,94, 一年前发布,5900000.0,"63,183元/平",VR看装修 房本满五年 随时看房 
水科院家属楼，停车位充足，绿化规划合理，配套完善,水科院,军博,2室1厅 ,61.3, 南 北 , 毛坯 ,6, 1983年 , 板楼,47, 8个月以前发布,6000000.0,"97,880元/平",近地铁 VR看装修 房本满五年 随时看房 
莲花小区 边户两居室 采光好 通风好,莲花小区,六里桥,2室1厅 ,110.05, 西南 , 简装 ,28, 1999年 , 塔楼,88, 9个月以前发布,7100000.0,"64,517元/平",近地铁 VR房源 房本满五年 随时看房 
五棵松东南，今日家园商品房两居室，层高2.8米,今日家园,五棵松,2室1厅 ,102.68, 东 , 简装 ,24, 2000年 , 塔楼,23, 6个月以前发布,8130000.0,"79,179元/平",VR看装修 房本满五年 随时看房 
安宁佳园新上三居室，满五唯一，诚意出售，看房随时,安宁佳园,安宁庄,3室2厅 ,97.15, 南 西 北 , 精装 ,18, 2007年 , 塔楼,61, 5个月以前发布,7950000.0,"81,833元/平",VR房源 房本满五年 随时看房 
清河 福美苑 正规南向两居室 带电梯 满五唯一,福美苑,清河,2室1厅 ,83.11, 南 , 简装 ,16, 2012年 , 板楼,127, 5个月以前发布,4980000.0,"59,921元/平",近地铁 VR看装修 房本满五年 随时看房 
