西城黄寺大街24号院，全南向，户型好,黄寺大街24号院,六铺炕,3室1厅 ,94.4, 南 , 精装 ,18, 1999年 , 塔楼,30, 3个月以前发布,13900000.0,"147,246元/平",VR房源 房本满两年 随时看房 
西直门南大街东区 电梯直达 两居室，采光好,西直门南大街东区,官园,2室1厅 ,55.6, 西 , 精装 ,16, 1986年 , 塔楼,5, 3个月以前发布,6960000.0,"125,180元/平",VR看装修 房本满五年 
金融街2008小区 带会所 化率35% 总价单价低,西城晶华,金融街,2室1厅 ,94.53, 东 西 , 简装 ,11, 2008年 , 板塔结合,46, 3个月以前发布,15900000.0,"168,201元/平",近地铁 VR看装修 房本满五年 
京剧院宿舍  电梯直达，西南向大客厅  卫生间干湿分离,西直门南小街,官园,2室1厅 ,64.8, 西南 , 精装 ,16, 1993年 , 塔楼,78, 3个月以前发布,7760000.0,"119,754元/平",近地铁 VR看装修 房本满五年 
新街口七条15号院 近地铁 小两居,新街口七条15号院,新街口,2室1厅 ,48.1, 南 , 简装 ,5, 1994年 , 板楼,74, 4个月以前发布,5700000.0,"118,504元/平",近地铁 VR看装修 房本满两年 随时看房 
广华轩双卫三居，层高2.8米，7/16双线达官营地铁400米,广华轩,广安门,3室1厅 ,126.62, 西北 , 简装 ,24, 2000年 , 塔楼,32,6,10850000.0,"85,690元/平",近地铁 VR看装修 房本满五年 随时看房 
椿树馆 南北双通透 全天采光 新精装全明三居震撼问世,椿树馆街35号院,天宁寺,3室1厅 ,77.76, 东 南 北 , 精装 ,6, 1983年 , 板楼,127, 10个月以前发布,6500000.0,"83,591元/平",VR看装修 房本满两年 随时看房 
阳光丽景三阳开泰户型，大四居满五唯一，采光好视野好,阳光丽景,马甸,4室2厅 ,153.48, 西南 , 精装 ,19, 2007年 , 板塔结合,45, 4个月以前发布,26500000.0,"172,661元/平",近地铁 VR看装修 房本满五年 随时看房 
陶然亭 万和世家 04年商品房 满五年唯一 看房有钥匙,万和世家,牛街,3室2厅 ,136.85, 南 北 , 精装 ,9, 2003年 , 板楼,83, 7个月以前发布,19300000.0,"141,031元/平",VR看装修 房本满五年 随时看房 
建功北里四区 电梯直达 东向一居室 户型方正 随时签约,建功北里,白纸坊,1室1厅 ,48.15, 东 , 精装 ,14, 1998年 , 板楼,7, 3个月以前发布,4690000.0,"97,404元/平",VR房源 房本满两年 
月坛 木樨地 西便门西里 中间层 有车位 不临街,西便门西里,木樨地,2室1厅 ,57.59, 南 北 , 精装 ,6, 1988年 , 板楼,53, 3个月以前发布,5980000.0,"103,838元/平",近地铁 VR看装修 房本满两年 
西城 金融街 平安里 富国里小区,富国里小区,官园,2室1厅 ,65.9, 北 南 , 精装 ,5, 1996年 , 板楼,41, 3个月以前发布,8990000.0,"136,419元/平",近地铁 VR看装修 房本满五年 
西城德胜门 满五年唯一 双南向 采光好 中间层 不临街,德胜里一区,德胜门,2室1厅 ,45.7, 南 , 简装 ,6, 1986年 , 板楼,11, 5个月以前发布,6950000.0,"152,079元/平",近地铁 VR看装修 房本满五年 随时看房 
四平园南北两居室 中间层 院内前后不临街 精装修,四平园,陶然亭,2室1厅 ,59.78, 南 北 , 精装 ,6, 1996年 , 板楼,39, 4个月以前发布,6850000.0,"114,587元/平",VR看装修 房本满两年 
广安苑二期 3室2厅 西南,广安苑二期,天宁寺,3室2厅 ,124.85, 西南 , 精装 ,23, 2002年 , 塔楼,51, 5个月以前发布,11500000.0,"92,111元/平",近地铁 VR看装修 房本满五年 
西城区二环内采光好 中间层近地铁 满五年唯一 央产房,槐柏树街北里,长椿街,2室1厅 ,93.89, 南 北 , 精装 ,6, 1990年 , 板楼,65, 5个月以前发布,10800000.0,"115,029元/平",VR看装修 房本满五年 
新文化街 南北通透三居室 满五年,新文化街,金融街,3室1厅 ,80.4, 南 北 , 简装 ,13, 1983年 , 板楼,85, 1个月以前发布,12880000.0,"160,200元/平",VR看装修 
复地西绒线26号院大平层精装四居室,复地西绒线26号,西单,4室2厅 ,377.27, 东 北 , 精装 ,15, 2010年 , 塔楼,41, 一年前发布,53000000.0,"140,483元/平",VR看装修 房本满五年 
四平园  全南一居室 中楼层  看房方便 满五唯一,四平园,陶然亭,1室1厅 ,48.26, 南 , 精装 ,6, 1996年 , 板楼,26, 3个月以前发布,5600000.0,"116,039元/平",近地铁 VR看装修 房本满五年 
新壁街小区南北通透两居诚意出售,新壁街,西单,2室1厅 ,69.9, 南 北 , 简装 ,6, 2004年 , 板塔结合,60, 一年前发布,9150000.0,"130,902元/平",近地铁 VR房源 房本满五年 随时看房 
长椿街低楼层精装修三居室周边配套齐全,报国寺东夹道,长椿街,3室1厅 ,60.64, 西 东 , 精装 ,6, 1982年 , 板楼,158, 8个月以前发布,4700000.0,"77,507元/平",近地铁 VR看装修 房本满五年 随时看房 
广安门车站西街13号院 满五唯一,车站西街13号院,广安门,2室1厅 ,56.39, 南 北 , 精装 ,6, 1995年 , 板楼,37, 5个月以前发布,4880000.0,"86,541元/平",近地铁 VR看装修 房本满五年 随时看房 
西四北大街160号  西四北大街   160,西四北大街160号,西四,2室1厅 ,58.9, 南 , 精装 ,16, 1987年 , 塔楼,43, 6个月以前发布,7800000.0,"132,428元/平",近地铁 VR看装修 房本满两年 随时看房 
西城广外  常青藤嘉园  优质两居室,常青藤嘉园,马连道,2室2厅 ,85.93, 南 北 , 精装 ,16, 2005年 , 板楼,67, 9个月以前发布,9600000.0,"111,719元/平",近地铁 VR看装修 房本满五年 随时看房 
满五年唯一，南北通透无遮挡，1996年,白纸坊街25号院,右安门内,2室1厅 ,62.44, 南 北 , 简装 ,6, 1996年 , 板楼,82, 5个月以前发布,5250000.0,"84,081元/平",VR看装修 房本满五年 随时看房 
什刹海 光泽胡同科影央产院 南北通透二室一厅 可看房,光泽胡同,德胜门,2室1厅 ,58.1, 南 北 , 简装 ,6, 1984年 , 板楼,43, 9个月以前发布,6860000.0,"118,073元/平",VR看装修 房本满五年 随时看房 
新街口外大街甲8号 全南向两居 明厨明卫 停车方便,新外大街甲8号院,马甸,2室1厅 ,59.7, 南 , 精装 ,5, 1995年 , 板楼,9, 4个月以前发布,7500000.0,"125,629元/平",近地铁 VR看装修 房本满两年 随时看房 
满五唯一高楼层视野开阔无遮挡两部电梯五户挑高3.15米,丽水莲花,广安门,2室1厅 ,99.28, 西北 , 精装 ,24, 2009年 , 塔楼,30, 6个月以前发布,11590000.0,"116,741元/平",近地铁 VR房源 房本满五年 随时看房 
【总监推荐】二环里 鼓楼边 满五唯一，南北向，精装修,前马厂胡同,六铺炕,3室1厅 ,56.7, 南 北 , 精装 ,6, 1983年 , 板楼,53, 6个月以前发布,6660000.0,"117,461元/平",近地铁 VR房源 房本满五年 随时看房 
东新开胡同+3居室+电梯房+有管理+满五年,东新开胡同,新街口,3室1厅 ,67.6, 西北 , 精装 ,11, 1989年 , 板塔结合,53, 7个月以前发布,7300000.0,"107,989元/平",近地铁 VR看装修 房本满五年 随时看房 
北顺城街11号院 中间层南北两居室,北顺城街11号院,西直门,2室1厅 ,48.2, 南 北 , 简装 ,5, 1974年 , 板楼,7, 一年前发布,5980000.0,"124,067元/平",VR看装修 房本满两年 随时看房 
乐城满五唯一，视野好，高楼层，看房子方便有钥匙,乐城,菜户营,1室1厅 ,45.32, 西北 北 , 简装 ,24, 2005年 , 塔楼,12, 5个月以前发布,4150000.0,"91,572元/平",近地铁 VR看装修 房本满两年 
新上光泽胡同胡同，精装修两居室，业主诚心出售,光泽胡同,德胜门,2室1厅 ,58.3, 南 北 , 精装 ,6, 1984年 , 板楼,12, 4个月以前发布,7300000.0,"125,215元/平",VR看装修 房本满五年 
地铁4号线，什刹海，南北，不临街2居,航空胡同22号院,西四,2室1厅 ,58.0, 南 北 , 精装 ,6, 1985年 , 板楼,8, 6个月以前发布,7600000.0,"131,035元/平",近地铁 VR看装修 房本满五年 
商品房，满五唯一，带电梯，1992年楼，小区安静不临街,新明胡同,马甸,3室1厅 ,67.4, 西北 西 北 , 精装 ,18, 1993年 , 板楼,24, 7个月以前发布,8090000.0,"120,030元/平",VR房源 房本满五年 
爱民里兵器部 低楼层南北三居 近北海 北大医院,爱民里小区,西四,3室1厅 ,95.2, 南 北 , 简装 ,6, 1990年 , 板楼,46, 10个月以前发布,13880000.0,"145,799元/平",近地铁 VR看装修 随时看房 
官园 车公庄 金融街 富国里 南北三居室 中间层 视野好,富国里小区,官园,3室1厅 ,82.5, 南 北 , 毛坯 ,5, 1998年 , 板楼,10,9,11900000.0,"144,243元/平",近地铁 VR看装修 房本满五年 随时看房 
莲花池东路精装修采光好户型方正 双南靠谱卖随时签约,莲花池东路,木樨地,2室1厅 ,56.6, 南 , 精装 ,16, 1987年 , 塔楼,3,16,6990000.0,"123,499元/平",VR看装修 房本满五年 随时看房 
满五唯一 南北通透 卫生间有窗户 有色金属家属院,感化胡同3号院,长椿街,2室1厅 ,62.51, 南 北 , 精装 ,6, 1984年 , 板楼,32, 2个月以前发布,6550000.0,"104,784元/平",VR看装修 房本满五年 
松树街 1室1厅 南,松树街,地安门,1室1厅 ,40.8, 南 , 简装 ,4, 1957年 , 板楼,3,8,4500000.0,"110,295元/平",近地铁 VR看装修 房本满五年 
长椿街 中间层精装修一居室 1992年 有小区环境,西便门内大街97号院,长椿街,1室1厅 ,41.4, 南 , 精装 ,6, 1992年 , 板楼,14, 2个月以前发布,4480000.0,"108,213元/平",VR房源 房本满两年 
西城，广外，恒昌花园，新上，东向三居室。,恒昌花园,广安门,3室1厅 ,130.55, 东 , 简装 ,28, 1999年 , 塔楼,15,10,11900000.0,"91,153元/平",近地铁 VR看装修 房本满五年 
百万庄未区南北通透精装修2居室，把西边全明格局,百万庄未区,阜成门,2室1厅 ,59.4, 南 北 , 精装 ,3, 1950年 , 板楼,16, 1个月以前发布,6790000.0,"114,310元/平",近地铁 VR看装修 房本满两年 
恒昌花园 近地铁 无遮挡 三居室  精装修 满五年唯一,恒昌花园,广安门,3室2厅 ,135.97, 东 , 精装 ,28, 1999年 , 塔楼,12,11,11800000.0,"86,784元/平",近地铁 VR房源 房本满五年 随时看房 
总监推荐:朝南无遮挡 中间楼层 随时签约,玉桃园三区,西直门,1室1厅 ,43.4, 南 , 精装 ,5, 1990年 , 板楼,11, 1个月以前发布,5250000.0,"120,968元/平",VR看装修 房本满五年 随时看房 
长椿街 宣武门西大街南区  电梯直达 双地铁 满五唯一,宣武门西大街南区,长椿街,2室1厅 ,58.9, 南 , 简装 ,10, 1970年 , 板楼,7,16,6380000.0,"108,320元/平",VR看装修 房本满五年 随时看房 
阜成门外北街  中间楼层 精装修 南北通透 无遮挡,阜成门外北街,阜成门,3室1厅 ,68.5, 南 北 , 精装 ,6, 1979年 , 板楼,28,15,7990000.0,"116,643元/平",近地铁 VR看装修 房本满两年 
