东馨园 中间位置中间楼层 满五年唯一商品房 精装修,东馨园,西北旺,3室1厅 ,76.0, 东 南 北 , 精装 ,6, 1992年 , 板楼,17, 2个月以前发布,6090000.0,"80,132元/平",VR看装修 房本满五年 
中海枫涟山庄 南北三居 有钥匙 业主诚意出售 满五年,中海枫涟山庄,西北旺,3室1厅 ,121.96, 南 北 , 精装 ,11, 2004年 , 板楼,80, 2个月以前发布,10980000.0,"90,030元/平",近地铁 VR看装修 房本满五年 随时看房 
景和园 小户型两居 南北通透 看房提前约 诚意出售,景和园,西北旺,2室1厅 ,69.49, 南 北 , 简装 ,6, 2011年 , 板楼,9,18,5880000.0,"84,617元/平",近地铁 VR房源 房本满两年 随时看房 
秋露园南向一居室户型方正小区中间位置精装修,秋露园,西北旺,1室1厅 ,55.69, 南 , 精装 ,6, 2004年 , 板楼,30, 3个月以前发布,4550000.0,"81,703元/平",近地铁 VR房源 房本满两年 随时看房 
全新房一天未住  双明卫 两个卧室朝南 客厅朝南,如园北区,西北旺,4室3厅 ,250.64, 东 南 北 , 精装 ,10, 2018年 , 板楼,57, 一年前发布,37100000.0,"148,022元/平",近地铁 VR看装修 房本满五年 随时看房 
西北旺夏霖园南北通透两居精装修自己住,夏霖园,西北旺,2室1厅 ,77.1, 南 北 , 精装 ,6, 2003年 , 板楼,55, 一年前发布,6600000.0,"85,604元/平",近地铁 VR房源 房本满两年 
夏霖园 中间位置 南北通透 精装修可拎包入住 随时签约,夏霖园,西北旺,2室1厅 ,76.9, 南 北 , 精装 ,6, 2003年 , 板楼,17, 7个月以前发布,6350000.0,"82,575元/平",近地铁 VR房源 房本满五年 
春晖园好三居，南北通透，客厅朝南有大阳台，空间实用,春晖园,西北旺,3室1厅 ,87.82, 南 北 , 简装 ,6, 2004年 , 板楼,53, 9个月以前发布,7500000.0,"85,402元/平",近地铁 VR房源 房本满五年 随时看房 
西山公馆三居2012年一层可以种花草人车分流低密度,西山公馆,西北旺,3室1厅 ,131.84, 东 西 , 精装 ,7, 2012年 , 板楼,107, 一年前发布,11390000.0,"86,393元/平",VR看装修 
夏霖园满五唯一南向一居中间楼层,夏霖园,西北旺,1室1厅 ,55.24, 南 , 简装 ,6, 2003年 , 板楼,18, 11个月以前发布,5450000.0,"98,661元/平",近地铁 VR看装修 房本满五年 
产权清晰、中间位置、视野开阔、随时看房,景和园,西北旺,3室1厅 ,94.77, 南 北 , 毛坯 ,6, 2011年 , 板楼,50, 8个月以前发布,7300000.0,"77,029元/平",近地铁 VR看装修 随时看房 
西山公馆南北三居电梯房，人车分流次顶层,西山公馆,西北旺,3室2厅 ,150.98, 南 北 , 精装 ,8, 2011年 , 板楼,10, 1个月以前发布,15900000.0,"105,312元/平",VR看装修 房本满两年 
百旺茉莉园 一期洋房复式 采光充足 业主诚意出售,百旺茉莉园,西北旺,4室2厅 ,217.26, 南 北 , 简装 ,5, 2006年 , 板楼,13, 4个月以前发布,18990000.0,"87,407元/平",近地铁 VR房源 房本满五年 
新上一层五局室业主诚心出售可以给周期,如园南区,西北旺,5室2厅 ,455.51, 南 北 , 精装 ,10, 2014年 , 板楼,4, 6个月以前发布,43000000.0,"94,400元/平",近地铁 VR房源 房本满五年 
正规六居 九层四居 十层两居 电梯均可直达 观西山！,如园南区,西北旺,6室2厅 ,478.92, 南 西 北 , 精装 ,10, 2014年 , 板楼,23, 10个月以前发布,48000000.0,"100,226元/平",近地铁 VR房源 房本满五年 
西山壹号院小区中间位置，中间楼层，眼睛户型三居,西山壹号院南区,西北旺,3室2厅 ,181.14, 南 北 , 简装 ,6, 2011年 , 板楼,36, 11个月以前发布,27990000.0,"154,522元/平",VR看装修 房本满五年 
润千秋佳苑 复式  5居室 户型方正,润千秋佳苑,西北旺,5室3厅 ,223.92, 南 北 , 精装 ,6, 2006年 , 板楼,42, 一年前发布,18200000.0,"81,280元/平",近地铁 VR房源 房本满五年 
单价9.1万，两个独立精装花园，四居室，双层独立私密,如园北区,西北旺,4室4厅 ,318.63, 南 北 , 精装 ,10, 2015年 , 板楼,226, 一年前发布,33000000.0,"103,569元/平",近地铁 VR房源 房本满五年 
如园南区中间位置，中间楼层四居，三面采光,如园南区,西北旺,4室2厅 ,295.06, 东 南 北 , 简装 ,10, 2014年 , 板楼,8, 4个月以前发布,33000000.0,"111,842元/平",近地铁 VR看装修 房本满五年 
万科如园 三卧朝南 南北通透 亮点多 看房方便,如园北区,西北旺,3室1厅 ,313.38, 南 北 , 精装 ,10, 2016年 , 板楼,8, 10个月以前发布,31800000.0,"101,475元/平",近地铁 VR房源 房本满两年 
南区一层带南花园 精装四居室 有车位 现代简约风格,西山壹号院南区,西北旺,4室3厅 ,330.83, 南 北 , 精装 ,6, 2011年 , 板楼,55, 一年前发布,37500000.0,"113,352元/平",VR房源 房本满五年 
