西二旗铭科苑 大一居 可以两居 看房方便,铭科苑,西二旗,2室1厅 ,72.0, 西 , 精装 ,18, 2002年 , 塔楼,100, 4个月以前发布,3790000.0,"52,639元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗铭科苑中间层满五唯一双卧南两居室,铭科苑,西二旗,2室1厅 ,66.3, 南 北 , 精装 ,6, 1997年 , 板楼,76, 一年前发布,4750000.0,"71,645元/平",近地铁 VR看装修 房本满五年 随时看房 
铭科苑 中间楼层两居室 格局方正,铭科苑,西二旗,2室1厅 ,71.3, 东 西 , 简装 ,6, 1997年 , 板楼,46, 8个月以前发布,4520000.0,"63,395元/平",近地铁 VR看装修 房本满五年 随时看房 
西二旗 铭科苑 中间楼层 三居室,铭科苑,西二旗,3室1厅 ,98.6, 东 西 , 精装 ,6, 1997年 , 板楼,18,16,5600000.0,"56,796元/平",近地铁 VR看装修 房本满两年 
领秀硅谷 满五唯一 眼睛房户型 视野好 采光足 诚心卖,领秀硅谷,西二旗,3室2厅 ,122.35, 南 北 , 精装 ,10, 2003年 , 板楼,26, 一年前发布,10800000.0,"88,272元/平",VR看装修 房本满两年 
优质2居室 满五年唯一，采光佳 价格低,铭科苑,西二旗,2室1厅 ,71.1, 东 西 , 简装 ,6, 1997年 , 板楼,50, 2个月以前发布,4300000.0,"60,479元/平",VR房源 房本满五年 
西二旗智学苑 满五唯一 南北向三室两厅两卫 精装修,智学苑,西二旗,3室2厅 ,134.42, 南 北 , 精装 ,6, 2005年 , 板楼,14, 1个月以前发布,8880000.0,"66,062元/平",近地铁 VR看装修 
业主诚售 智学苑西南朝向三居室 中间楼层,智学苑,西二旗,3室2厅 ,128.21, 南 西 , 精装 ,24, 2002年 , 塔楼,14,7,7760000.0,"60,526元/平",近地铁 VR看装修 
智学苑 中间楼层大三居 双卫 格局方正 满五唯一,智学苑,西二旗,3室2厅 ,126.2, 东 南 北 , 简装 ,24, 2002年 , 塔楼,29, 6个月以前发布,7550000.0,"59,826元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷1号院 满五唯一  南北通透,领秀新硅谷1号院,西二旗,2室1厅 ,95.7, 南 北 , 精装 ,11, 2011年 , 板楼,46, 1个月以前发布,9700000.0,"101,359元/平",VR看装修 房本满五年 
领秀硅谷 创业者家园 联排别墅 满五年唯一 有花园,领秀硅谷,西二旗,4室3厅 ,207.49, 南 北 , 简装 ,3, 暂无数据 , 联排别墅 ,40, 3个月以前发布,17300000.0,"83,378元/平",VR房源 房本满五年 随时看房 
智学苑带电梯三居室，临地铁，交通便利,智学苑,西二旗,3室1厅 ,126.65, 东南 , 精装 ,24, 2001年 , 塔楼,22, 4个月以前发布,7050000.0,"55,666元/平",近地铁 VR看装修 房本满五年 
领秀新硅谷1号院 花园洋房三居室,领秀新硅谷1号院,西二旗,3室2厅 ,125.8, 东 西 , 简装 ,5, 2010年 , 板楼,32, 4个月以前发布,10700000.0,"85,056元/平",近地铁 VR看装修 房本满五年 随时看房 
